epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.5647,1.92923,2.97753,1.74185,0.84794,0.09412,0.2906,0.12468,1.68673,3.05207,1.77807,0.000410628,0.000410628,0.000410628
2,87.6427,1.7606,1.9327,1.62577,0.53421,0.46851,0.47383,0.23868,1.97076,1.76937,1.99264,0.000745393,0.000745393,0.000745393
3,108.3,1.74222,1.73918,1.62889,0.79409,0.54538,0.60578,0.27567,1.80512,1.68413,1.82851,0.000997657,0.000997657,0.000997657
4,128.675,1.70915,1.57351,1.59648,0.56894,0.48801,0.56079,0.28007,1.81082,1.96576,1.81599,0.00087875,0.00087875,0.00087875
5,149.222,1.6556,1.40077,1.58781,0.64819,0.5647,0.65197,0.34563,1.68443,1.21308,1.6955,0.000755,0.000755,0.000755
6,169.612,1.58712,1.24542,1.51744,0.88188,0.56797,0.7142,0.35033,1.71036,1.15823,1.69285,0.00063125,0.00063125,0.00063125
7,189.942,1.54251,1.15036,1.48844,0.71846,0.80851,0.77064,0.38454,1.6738,0.98754,1.61074,0.0005075,0.0005075,0.0005075
8,211.002,1.48919,1.04681,1.44996,0.73426,0.77212,0.7456,0.41437,1.56299,0.87386,1.5597,0.00038375,0.00038375,0.00038375
9,232.057,1.44785,0.98162,1.42941,0.80659,0.84266,0.84912,0.48049,1.57727,0.86902,1.57365,0.00026,0.00026,0.00026
10,253.551,1.38426,0.9025,1.38517,0.92235,0.74728,0.8617,0.4728,1.48083,0.78024,1.52634,0.00013625,0.00013625,0.00013625
