epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6606,1.97502,4.63439,1.56665,0.00095,0.28571,0.03597,0.02169,1.64535,4.3021,1.36477,2e-05,2e-05,2e-05
2,21.7676,1.79912,4.70272,1.51121,0.00333,1,0.04781,0.02674,1.65041,4.2935,1.32964,5.406e-05,5.406e-05,5.406e-05
3,32.5911,1.77036,4.02844,1.64066,0.00333,1,0.28928,0.1663,1.6418,4.21099,1.3182,8.02e-05,8.02e-05,8.02e-05
4,43.4539,1.65905,3.7972,1.46908,0.00333,1,0.28904,0.15914,1.45834,4.14371,1.25881,9.842e-05,9.842e-05,9.842e-05
5,54.4277,1.64001,3.52293,1.30075,0.00333,1,0.29398,0.1749,1.38647,4.11965,1.24518,0.00010872,0.00010872,0.00010872
6,65.0988,1.54357,3.31859,1.252,0.00333,1,0.30505,0.16462,1.41976,4.1265,1.20673,0.0001111,0.0001111,0.0001111
7,76.0325,1.59231,2.5606,1.23812,0.00333,1,0.30998,0.18141,1.4122,4.10421,1.19953,0.00010556,0.00010556,0.00010556
8,87.6418,1.5594,2.55433,1.15012,0.00333,1,0.31159,0.19714,1.4177,3.96115,1.19389,9.21e-05,9.21e-05,9.21e-05
9,101.242,1.3873,2.22365,1.17567,0.00333,1,0.31752,0.20021,1.38593,3.92604,1.18062,7.072e-05,7.072e-05,7.072e-05
10,113.453,1.45145,2.32579,1.16312,0.00333,1,0.31898,0.20077,1.36948,3.84011,1.16774,4.142e-05,4.142e-05,4.142e-05
