epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4495,1.85596,4.25668,1.66039,0.00083,0.28571,0.02405,0.01451,1.68157,4.49405,1.39837,2e-05,2e-05,2e-05
2,28.4624,1.67981,3.86594,1.41252,0.00292,1,0.04104,0.02225,1.57139,4.64328,1.30075,5.703e-05,5.703e-05,5.703e-05
3,42.0444,1.58904,4.40466,1.41729,0.00292,1,0.21893,0.11661,1.51913,4.42995,1.29803,9.01e-05,9.01e-05,9.01e-05
4,56.0902,1.40946,3.30831,1.16618,0.00292,1,0.28874,0.1732,1.37182,4.31363,1.26058,0.00011921,0.00011921,0.00011921
5,69.2612,1.67595,3.36651,1.30748,0.00292,1,0.28878,0.15989,1.38137,4.28434,1.24008,0.00014436,0.00014436,0.00014436
6,82.3755,1.42741,2.91409,1.16208,0.00292,1,0.30601,0.14905,1.29641,4.22532,1.17232,0.00016555,0.00016555,0.00016555
7,95.5837,1.50913,2.29998,1.14719,0.00292,1,0.3537,0.1531,1.27023,4.09286,1.16519,0.00018278,0.00018278,0.00018278
8,108.897,1.52969,2.52992,1.25525,0.00292,1,0.39409,0.18944,1.31647,3.86669,1.18909,0.00019605,0.00019605,0.00019605
9,121.903,1.34371,2.37526,1.1721,0.00292,1,0.36076,0.16903,1.29673,3.82899,1.19208,0.00020536,0.00020536,0.00020536
10,134.916,1.33483,2.32081,1.14695,0.00292,1,0.30038,0.13449,1.26923,3.80263,1.1856,0.00021071,0.00021071,0.00021071
11,149.205,1.41442,2.56163,1.23784,0.00292,1,0.29318,0.13251,1.21156,3.89732,1.17649,0.0002121,0.0002121,0.0002121
12,162.574,1.39305,2.65217,1.17533,0.00292,1,0.29075,0.14582,1.24949,3.90158,1.16102,0.00020953,0.00020953,0.00020953
13,176.109,1.30818,2.40885,1.11543,0.00292,1,0.28937,0.16037,1.26284,3.93022,1.1752,0.000203,0.000203,0.000203
14,189.465,1.22755,2.32142,1.1682,0.00292,1,0.28933,0.16045,1.30557,3.93667,1.18938,0.00019251,0.00019251,0.00019251
15,203.071,1.18981,2.3632,1.11774,0.00292,1,0.28931,0.1604,1.29808,4.0083,1.21788,0.00017806,0.00017806,0.00017806
16,216.483,1.24912,2.34333,1.15747,0.00292,1,0.28926,0.16103,1.27059,4.00244,1.23159,0.00015965,0.00015965,0.00015965
17,229.708,1.38609,2.30287,1.19177,0.00292,1,0.28917,0.17558,1.22872,3.95409,1.22341,0.00013728,0.00013728,0.00013728
18,243.234,1.2248,2.12859,1.09997,0.00292,1,0.28918,0.16105,1.22286,3.87133,1.22033,0.00011095,0.00011095,0.00011095
19,256.186,1.13415,2.39334,1.06029,0.00292,1,0.28915,0.16107,1.20618,3.83329,1.20661,8.066e-05,8.066e-05,8.066e-05
20,269.382,1.17375,2.2368,1.06168,0.00287,0.49912,0.28908,0.14649,1.20485,3.79393,1.2015,4.641e-05,4.641e-05,4.641e-05
