epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.37533,3.00302,3.80152,3.30282,0.00335,1,0.00819,0.0017,3.35885,5.70464,3.66275,0,0,0
2,8.74205,2.92236,4.21588,3.25958,0.00334,1,0.00793,0.00187,3.30492,5.84052,3.6034,1.6505e-05,1.6505e-05,1.6505e-05
3,13.345,2.89149,3.85131,3.05619,0.00334,1,0.00712,0.00229,3.10832,6.61873,3.5022,3.26799e-05,3.26799e-05,3.26799e-05
4,17.9819,3.15933,4.3518,3.20934,0.00333,1,0.00755,0.00198,3.0372,6.23168,3.42194,4.85247e-05,4.85247e-05,4.85247e-05
5,22.4868,2.86298,3.97914,3.02807,0.00334,1,0.00748,0.00277,2.75288,5.12208,3.32504,6.40395e-05,6.40395e-05,6.40395e-05
6,27.7988,2.78396,3.82468,2.97671,0.00335,1,0.00778,0.0017,2.81384,5.19097,3.2688,7.92242e-05,7.92242e-05,7.92242e-05
7,32.6496,2.76568,3.95659,2.83703,0.00338,1,0.01029,0.00298,2.62452,4.93851,3.16688,9.40788e-05,9.40788e-05,9.40788e-05
8,37.3149,2.27847,3.95099,2.6441,0.00243,0.75,0.01291,0.00323,2.73504,5.2697,3.13594,0.000108603,0.000108603,0.000108603
9,41.7675,2.34551,3.75442,2.37609,0.00243,0.75,0.01543,0.00548,2.81668,5.22725,3.0778,0.000122798,0.000122798,0.000122798
10,45.9197,2.33328,3.5569,2.41656,0.00344,1,0.01618,0.00525,2.81556,5.3641,3.00388,0.000136662,0.000136662,0.000136662
11,50.4031,1.98652,3.55979,2.18806,0.00343,1,0.02695,0.01197,2.56622,5.19352,2.85401,0.000150197,0.000150197,0.000150197
12,55.2202,2.07527,3.54479,2.22507,0.00338,1,0.05345,0.03369,2.35183,4.78196,2.66056,0.000163401,0.000163401,0.000163401
13,59.5296,1.71623,3.27417,1.91996,0.00335,1,0.10832,0.06889,1.86056,4.92865,2.36102,0.000176275,0.000176275,0.000176275
14,63.6713,1.7622,3.44244,1.95054,0.00335,1,0.29396,0.19036,1.99098,4.49052,2.31286,0.000188819,0.000188819,0.000188819
15,67.9618,1.81103,3.47683,1.99695,0.00334,1,0.29572,0.16324,1.99896,4.60083,2.17749,0.000201034,0.000201034,0.000201034
16,72.2383,1.85736,3.21327,1.96993,0.00333,1,0.31673,0.16709,2.22215,4.25633,2.29004,0.000212918,0.000212918,0.000212918
17,77.1544,1.59113,3.06685,1.75571,0.00333,1,0.32076,0.14306,2.22525,3.96376,2.31361,0.000224472,0.000224472,0.000224472
18,81.7669,1.6509,3.24897,1.8626,0.00333,1,0.32076,0.14306,2.22525,3.96376,2.31361,0.000235695,0.000235695,0.000235695
19,86.7525,1.85018,3.14787,1.99385,0.00333,1,0.37,0.15704,2.1428,4.12381,2.23873,0.000246589,0.000246589,0.000246589
20,91.3808,1.57911,2.8839,1.73592,0.00333,1,0.37,0.15704,2.1428,4.12381,2.23873,0.000257153,0.000257153,0.000257153
21,96.2494,1.48628,2.64804,1.57788,0.00333,1,0.53435,0.16776,2.02165,4.29729,2.1487,0.000267387,0.000267387,0.000267387
22,100.637,1.67844,3.16446,1.86155,0.00333,1,0.53435,0.16776,2.02165,4.29729,2.1487,0.00027729,0.00027729,0.00027729
23,105.984,1.44789,2.8314,1.68666,0.00334,1,0.31122,0.16333,1.79074,4.42322,1.93888,0.000286864,0.000286864,0.000286864
24,110.972,1.47532,2.71096,1.60647,0.00334,1,0.31122,0.16333,1.79074,4.42322,1.93888,0.000296108,0.000296108,0.000296108
25,115.194,1.31068,2.56772,1.515,0.00334,1,0.33558,0.19179,1.7286,4.20982,1.87034,0.000305021,0.000305021,0.000305021
26,119.696,1.38306,2.49539,1.52347,0.00334,1,0.33558,0.19179,1.7286,4.20982,1.87034,0.000313604,0.000313604,0.000313604
27,124.834,1.73516,2.86946,1.90139,0.00334,1,0.36571,0.20762,1.8369,4.17582,1.98096,0.000321858,0.000321858,0.000321858
28,129.065,1.1985,2.3208,1.43471,0.00334,1,0.36571,0.20762,1.8369,4.17582,1.98096,0.000329781,0.000329781,0.000329781
29,134.095,1.20466,2.3146,1.44076,0.00335,1,0.35229,0.20321,1.8261,4.11319,1.95145,0.000337374,0.000337374,0.000337374
30,138.276,1.28748,2.08261,1.4769,0.00335,1,0.35229,0.20321,1.8261,4.11319,1.95145,0.000344637,0.000344637,0.000344637
31,143.255,1.32997,2.34285,1.50331,0.00336,1,0.33499,0.18403,1.85864,3.95921,1.9517,0.00035157,0.00035157,0.00035157
32,148.536,1.38017,2.53178,1.6504,0.00336,1,0.33499,0.18403,1.85864,3.95921,1.9517,0.000358173,0.000358173,0.000358173
33,153.582,1.24637,2.0664,1.4248,0.00336,1,0.4433,0.24525,1.86244,3.91173,2.06624,0.000364446,0.000364446,0.000364446
34,158.28,1.36559,2.07951,1.50599,0.00336,1,0.4433,0.24525,1.86244,3.91173,2.06624,0.000370389,0.000370389,0.000370389
35,162.912,1.30812,2.24596,1.51534,0.00336,1,0.43944,0.21142,2.17301,4.12707,2.28011,0.000376002,0.000376002,0.000376002
36,167.354,1.06878,1.91868,1.37557,0.00336,1,0.43944,0.21142,2.17301,4.12707,2.28011,0.000381285,0.000381285,0.000381285
37,171.603,1.21529,2.1145,1.37842,0.00336,1,0.39429,0.18516,2.18027,3.9506,2.26415,0.000386237,0.000386237,0.000386237
38,176.409,1.01175,1.84114,1.31399,0.00336,1,0.39429,0.18516,2.18027,3.9506,2.26415,0.00039086,0.00039086,0.00039086
39,181.432,1.27802,2.19848,1.50128,0.00335,1,0.38735,0.15394,2.28515,3.83353,2.36832,0.000395152,0.000395152,0.000395152
40,186.857,1.28807,1.76101,1.44398,0.00335,1,0.38735,0.15394,2.28515,3.83353,2.36832,0.000399115,0.000399115,0.000399115
41,191.497,1.17005,1.73059,1.33645,0.00335,1,0.29238,0.11601,2.46042,3.89542,2.50745,0.000402747,0.000402747,0.000402747
42,195.808,1.03094,1.82869,1.29245,0.00335,1,0.29238,0.11601,2.46042,3.89542,2.50745,0.00040605,0.00040605,0.00040605
43,200.472,1.29127,1.87983,1.43527,0.00335,1,0.32973,0.11612,2.38015,4.10799,2.40381,0.000409022,0.000409022,0.000409022
44,205.582,1.10573,1.43617,1.26538,0.00335,1,0.32973,0.11612,2.38015,4.10799,2.40381,0.000411664,0.000411664,0.000411664
45,210.033,0.97164,1.63257,1.31453,0.00334,1,0.38504,0.119,2.2851,4.14748,2.41701,0.000413976,0.000413976,0.000413976
46,214.536,1.1545,1.77603,1.40119,0.00334,1,0.38504,0.119,2.2851,4.14748,2.41701,0.000415958,0.000415958,0.000415958
47,218.836,1.10056,1.63594,1.21274,0.00334,1,0.38757,0.12136,2.28511,4.03769,2.464,0.00041761,0.00041761,0.00041761
48,223.009,1.23838,1.72741,1.35445,0.00334,1,0.38757,0.12136,2.28511,4.03769,2.464,0.000418932,0.000418932,0.000418932
49,227.136,0.92795,1.59498,1.21165,0.00335,1,0.28776,0.09307,2.42007,3.91151,2.59393,0.000419924,0.000419924,0.000419924
50,231.354,0.91888,1.57375,1.20976,0.00335,1,0.28776,0.09307,2.42007,3.91151,2.59393,0.000420586,0.000420586,0.000420586
51,235.958,0.82516,1.35598,1.10448,0.00335,1,0.47379,0.12663,2.42586,3.92287,2.75425,0.000420918,0.000420918,0.000420918
52,241.408,0.96314,1.49413,1.20224,0.00335,1,0.47379,0.12663,2.42586,3.92287,2.75425,0.000420919,0.000420919,0.000420919
53,245.601,0.97804,1.65892,1.2694,0.00335,1,0.47379,0.12663,2.42586,3.92287,2.75425,0.000420591,0.000420591,0.000420591
54,249.757,0.85565,1.5657,1.17188,0.00337,1,0.40625,0.12712,2.35873,3.74596,2.80358,0.000419932,0.000419932,0.000419932
55,253.732,0.99121,1.60574,1.1415,0.00337,1,0.40625,0.12712,2.35873,3.74596,2.80358,0.000418944,0.000418944,0.000418944
56,257.892,0.85278,1.46299,1.13285,0.00337,1,0.40625,0.12712,2.35873,3.74596,2.80358,0.000417625,0.000417625,0.000417625
57,262.051,0.99606,1.62436,1.19977,0.0034,1,0.40662,0.13278,2.22019,3.69394,2.63219,0.000415977,0.000415977,0.000415977
58,266.202,1.16394,1.72413,1.42187,0.0034,1,0.40662,0.13278,2.22019,3.69394,2.63219,0.000413998,0.000413998,0.000413998
59,270.232,1.02109,1.5239,1.22548,0.0034,1,0.40662,0.13278,2.22019,3.69394,2.63219,0.000411689,0.000411689,0.000411689
60,274.37,1.14404,1.50034,1.33324,0.0034,1,0.41723,0.15423,2.10167,3.66764,2.62075,0.00040905,0.00040905,0.00040905
61,278.497,0.90967,1.43748,1.11898,0.0034,1,0.41723,0.15423,2.10167,3.66764,2.62075,0.000406081,0.000406081,0.000406081
62,282.553,0.88059,1.3102,1.12435,0.0034,1,0.41723,0.15423,2.10167,3.66764,2.62075,0.000402782,0.000402782,0.000402782
63,286.722,0.82695,1.30402,1.08194,0.00336,1,0.4387,0.13768,2.13995,3.71716,2.72164,0.000399153,0.000399153,0.000399153
64,290.894,0.92002,1.3534,1.16025,0.00336,1,0.4387,0.13768,2.13995,3.71716,2.72164,0.000395194,0.000395194,0.000395194
65,296.017,0.88522,1.65874,1.26403,0.00336,1,0.4387,0.13768,2.13995,3.71716,2.72164,0.000390905,0.000390905,0.000390905
66,301.039,0.91325,1.41033,1.14513,0.00336,1,0.34837,0.1596,2.12102,3.92722,2.70327,0.000386286,0.000386286,0.000386286
67,305.158,0.74749,1.20249,1.06253,0.00336,1,0.34837,0.1596,2.12102,3.92722,2.70327,0.000381336,0.000381336,0.000381336
68,309.971,0.89011,1.40877,1.18802,0.00336,1,0.34837,0.1596,2.12102,3.92722,2.70327,0.000376057,0.000376057,0.000376057
69,314.403,0.99689,1.60231,1.22145,0.00335,1,0.32217,0.14016,2.07029,3.94989,2.49949,0.000370447,0.000370447,0.000370447
70,318.809,0.96216,1.4414,1.23661,0.00335,1,0.32217,0.14016,2.07029,3.94989,2.49949,0.000364508,0.000364508,0.000364508
71,324.305,0.79774,1.23409,1.02284,0.00335,1,0.32217,0.14016,2.07029,3.94989,2.49949,0.000358238,0.000358238,0.000358238
72,329.354,0.94124,1.5057,1.20919,0.00382,1,0.31798,0.16925,2.06163,3.76221,2.42676,0.000351639,0.000351639,0.000351639
