epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.77925,3.00302,3.80152,3.30282,0.00335,1,0.00819,0.0017,3.35885,5.70464,3.66275,0,0,0
2,9.3222,2.92236,4.21588,3.25958,0.00334,1,0.00794,0.00187,3.30553,5.84157,3.60396,1.63399e-05,1.63399e-05,1.63399e-05
3,13.7305,2.89187,3.85062,3.05517,0.00334,1,0.00715,0.0023,3.12388,6.58683,3.50594,3.20197e-05,3.20197e-05,3.20197e-05
4,18.0755,3.14436,4.36711,3.19479,0.00333,1,0.00761,0.00199,3.04093,6.19746,3.42848,4.70394e-05,4.70394e-05,4.70394e-05
5,22.5349,2.86095,4.0173,3.02374,0.00334,1,0.00771,0.00268,2.69404,5.24102,3.31043,6.13989e-05,6.13989e-05,6.13989e-05
6,26.9334,2.79274,3.87495,2.98046,0.00335,1,0.00861,0.00168,2.90255,4.77691,3.25483,7.50984e-05,7.50984e-05,7.50984e-05
7,31.2689,2.76666,3.9149,2.87958,0.00336,1,0.01074,0.00292,2.53781,4.6539,3.14653,8.81376e-05,8.81376e-05,8.81376e-05
8,35.6109,2.33995,3.99364,2.69556,0.00243,0.75,0.01562,0.00464,2.26877,4.82912,3.02109,0.000100517,0.000100517,0.000100517
9,39.9731,2.28146,3.86162,2.41759,0.00343,1,0.01257,0.00505,2.42042,5.20157,3.02966,0.000112236,0.000112236,0.000112236
10,44.3948,2.30658,3.6229,2.50472,0.00243,0.75,0.01808,0.00934,2.40733,5.1849,2.99078,0.000123295,0.000123295,0.000123295
11,48.7277,1.85967,3.50001,2.15083,0.00243,0.75,0.03519,0.0146,2.64245,4.81433,2.97573,0.000133693,0.000133693,0.000133693
12,53.1932,2.12442,3.60652,2.28897,0.0034,1,0.05258,0.0173,2.63139,4.59097,2.91721,0.000143432,0.000143432,0.000143432
13,57.6286,1.83229,3.37262,2.0113,0.00339,1,0.07253,0.02827,2.24621,5.01102,2.68736,0.00015251,0.00015251,0.00015251
14,62.1992,1.86843,3.42022,2.00532,0.00336,1,0.08645,0.03736,2.41992,4.48503,2.68469,0.000160929,0.000160929,0.000160929
15,66.5393,1.92257,3.60855,2.0449,0.00334,1,0.06335,0.01869,2.35767,4.77372,2.59566,0.000168687,0.000168687,0.000168687
16,70.9347,1.82773,3.33149,1.95945,0.00333,1,0.08285,0.01613,2.64484,4.40048,2.6693,0.000175785,0.000175785,0.000175785
17,75.2978,1.50199,3.114,1.68031,0.00333,1,0.09208,0.01383,2.42785,4.44289,2.73374,0.000182223,0.000182223,0.000182223
18,79.506,1.72523,3.30106,1.90453,0.00333,1,0.09208,0.01383,2.42785,4.44289,2.73374,0.000188001,0.000188001,0.000188001
19,83.9117,2.04439,3.21569,2.22106,0.00333,1,0.12059,0.0268,2.29838,4.55206,2.70794,0.000193119,0.000193119,0.000193119
20,88.2706,1.7082,2.98656,1.87509,0.00333,1,0.12059,0.0268,2.29838,4.55206,2.70794,0.000197576,0.000197576,0.000197576
21,93.4792,1.52314,2.75343,1.6533,0.00333,1,0.10523,0.01731,2.41025,4.56505,2.67694,0.000201374,0.000201374,0.000201374
22,98.8103,1.76811,3.2068,1.93308,0.00333,1,0.10523,0.01731,2.41025,4.56505,2.67694,0.000204511,0.000204511,0.000204511
23,105.166,1.66085,3.05416,1.78384,0.00333,1,0.13727,0.01775,2.45996,4.42809,2.72552,0.000206988,0.000206988,0.000206988
24,111.712,1.69432,2.82045,1.82174,0.00333,1,0.13727,0.01775,2.45996,4.42809,2.72552,0.000208805,0.000208805,0.000208805
25,117.228,1.41281,2.58534,1.60249,0.00334,1,0.13122,0.01834,2.4337,4.45762,2.76803,0.000209962,0.000209962,0.000209962
