epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,696.309,1.88497,2.86593,1.7396,0.55737,0.54284,0.52247,0.22305,1.93163,2.49766,1.88997,0.000369807,0.000369807,0.000369807
2,1319.19,1.88252,2.14765,1.78761,0.54227,0.51895,0.51542,0.21079,2.07721,2.10859,1.97152,0.000715716,0.000715716,0.000715716
3,1917.11,1.85296,1.90729,1.77819,0.70461,0.59435,0.67046,0.29625,1.90086,1.64982,1.90268,0.00103718,0.00103718,0.00103718
4,2544.4,1.80908,1.76567,1.74493,0.7125,0.61863,0.69525,0.3331,1.81691,1.59413,1.83267,0.00100101,0.00100101,0.00100101
5,3251.69,1.74245,1.58325,1.68521,0.76609,0.71001,0.76891,0.37134,1.76732,1.33036,1.78196,0.000964348,0.000964348,0.000964348
6,3966.02,1.69129,1.46151,1.65176,0.77427,0.73051,0.78979,0.39716,1.72914,1.2569,1.76262,0.000927685,0.000927685,0.000927685
7,4710.78,1.6625,1.37221,1.62465,0.74834,0.78033,0.8014,0.40579,1.69619,1.17133,1.73148,0.000891022,0.000891022,0.000891022
8,5469.19,1.61154,1.27217,1.5928,0.82107,0.75933,0.83631,0.42975,1.70897,1.07634,1.74005,0.000854359,0.000854359,0.000854359
9,6228.51,1.58714,1.20957,1.56753,0.81243,0.79225,0.84645,0.45412,1.64876,1.02079,1.70309,0.000817696,0.000817696,0.000817696
10,7001.24,1.57131,1.16212,1.56285,0.83052,0.78911,0.84589,0.46134,1.59894,0.97659,1.65403,0.000781033,0.000781033,0.000781033
11,8837,1.5377,1.115,1.53487,0.82351,0.793,0.85377,0.45193,1.61142,0.99406,1.69509,0.00074437,0.00074437,0.00074437
12,9463.31,1.51908,1.07515,1.51725,0.83282,0.80519,0.86443,0.47905,1.565,0.91065,1.61436,0.000707707,0.000707707,0.000707707
13,10102.8,1.49091,1.04112,1.49517,0.83881,0.80877,0.86774,0.47909,1.57454,0.87034,1.63274,0.000671044,0.000671044,0.000671044
14,10912.8,1.47208,1.01613,1.48342,0.84521,0.83215,0.87012,0.47876,1.54592,0.86865,1.61275,0.000634381,0.000634381,0.000634381
15,12051.2,1.46163,0.99615,1.47545,0.82184,0.81551,0.86668,0.48257,1.56975,0.8759,1.62534,0.000597718,0.000597718,0.000597718
16,12753.7,1.44442,0.96718,1.46334,0.8583,0.83723,0.88119,0.50151,1.54252,0.82286,1.62069,0.000561055,0.000561055,0.000561055
17,13468.7,1.4305,0.93752,1.45471,0.8405,0.83512,0.88303,0.48605,1.57942,0.837,1.65371,0.000524392,0.000524392,0.000524392
18,25268.7,1.40725,0.91381,1.43541,0.83026,0.85668,0.88917,0.50667,1.51675,0.78398,1.603,0.000487729,0.000487729,0.000487729
19,25870.1,1.39044,0.89394,1.42407,0.86443,0.84107,0.89566,0.50515,1.54223,0.78222,1.61177,0.000451066,0.000451066,0.000451066
20,26520,1.36525,0.86871,1.40974,0.86352,0.83797,0.88827,0.51062,1.52616,0.77132,1.60568,0.000414403,0.000414403,0.000414403
21,27204,1.32749,0.71144,1.43741,0.84959,0.84994,0.8937,0.51064,1.51007,0.75038,1.60798,0.00037774,0.00037774,0.00037774
22,27897.7,1.29265,0.67409,1.41012,0.86265,0.86852,0.90495,0.51411,1.51588,0.7396,1.6122,0.000341077,0.000341077,0.000341077
23,28603.5,1.26755,0.65289,1.39607,0.84856,0.869,0.90514,0.52417,1.49959,0.72563,1.59546,0.000304414,0.000304414,0.000304414
24,29304.2,1.23525,0.63023,1.36505,0.86544,0.87899,0.91028,0.51749,1.4982,0.71901,1.59384,0.000267751,0.000267751,0.000267751
25,30022.7,1.21372,0.61193,1.34976,0.88143,0.85,0.90314,0.51812,1.49401,0.71177,1.60384,0.000231088,0.000231088,0.000231088
26,30734.7,1.19208,0.59955,1.33665,0.87196,0.86229,0.90859,0.5237,1.49563,0.70383,1.59846,0.000194425,0.000194425,0.000194425
27,31448,1.16043,0.58028,1.31493,0.87067,0.8645,0.90451,0.52454,1.48675,0.68972,1.60741,0.000157762,0.000157762,0.000157762
28,32160.7,1.14489,0.56941,1.30242,0.8667,0.86839,0.9029,0.5216,1.49147,0.6896,1.61369,0.000121099,0.000121099,0.000121099
29,32884.9,1.12266,0.55292,1.28955,0.87937,0.8596,0.90552,0.52304,1.49865,0.6889,1.62979,8.4436e-05,8.4436e-05,8.4436e-05
30,33602.9,1.10783,0.54265,1.27802,0.87226,0.86829,0.90943,0.5257,1.48341,0.67935,1.61334,4.7773e-05,4.7773e-05,4.7773e-05
